BadTcpMessageTooLarge,0x80800000,The size of the message specified in the header is too large.,2155872256,128
BadTcpNotEnoughResources,0x80810000,There are not enough resources to process the request.,2155937792,128
BadTcpInternalError,0x80820000,An internal error occurred.,2156003328,128
BadTcpEndpointUrlInvalid,0x80830000,The server does not recognize the QueryString specified.,2156068864,128
BadRequestInterrupted,0x80840000,The request could not be sent because of a network interruption.,2156134400,128
BadRequestTimeout,0x80850000,Timeout occurred while processing the request.,2156199936,128
BadSecureChannelClosed,0x80860000,The secure channel has been closed.,2156265472,128
BadSecureChannelTokenUnknown,0x80870000,The token has expired or is not recognized.,2156331008,128
BadSequenceNumberInvalid,0x80880000,The sequence number is not valid.,2156396544,128
BadProtocolVersionUnsupported,0x80BE0000,The applications do not have compatible protocol versions.,2159935488,128
BadConfigurationError,0x80890000,There is a problem with the configuration that affects the usefulness of the value.,2156462080,128
BadNotConnected,0x808A0000,The variable should receive its value from another variable but has never been configured to do so.,2156527616,128
BadDeviceFailure,0x808B0000,There has been a failure in the device/data source that generates the value that has affected the value.,2156593152,128
BadSensorFailure,0x808C0000,There has been a failure in the sensor from which the value is derived by the device/data source.,2156658688,128
BadOutOfService,0x808D0000,The source of the data is not operational.,2156724224,128
BadDeadbandFilterInvalid,0x808E0000,The deadband filter is not valid.,2156789760,128
UncertainNoCommunicationLastUsableValue,0x408F0000,Communication to the data source has failed. The variable value is the last value that had a good quality.,1083113472,64
UncertainLastUsableValue,0x40900000,Whatever was updating this value has stopped doing so.,1083179008,64
UncertainSubstituteValue,0x40910000,The value is an operational value that was manually overwritten.,1083244544,64
UncertainInitialValue,0x40920000,The value is an initial value for a variable that normally receives its value from another variable.,1083310080,64
UncertainSensorNotAccurate,0x40930000,The value is at one of the sensor limits.,1083375616,64
UncertainEngineeringUnitsExceeded,0x40940000,The value is outside of the range of values defined for this parameter.,1083441152,64
UncertainSubNormal,0x40950000,The value is derived from multiple sources and has less than the required number of Good sources.,1083506688,64
GoodLocalOverride,0x00960000,The value has been overridden.,9830400,0
BadRefreshInProgress,0x80970000,This Condition refresh failed a Condition refresh operation is already in progress.,2157379584,128
BadConditionAlreadyDisabled,0x80980000,This condition has already been disabled.,2157445120,128
BadConditionAlreadyEnabled,0x80CC0000,This condition has already been enabled.,2160852992,128
BadConditionDisabled,0x80990000,Property not available this condition is disabled.,2157510656,128
BadEventIdUnknown,0x809A0000,The specified event id is not recognized.,2157576192,128
BadEventNotAcknowledgeable,0x80BB0000,The event cannot be acknowledged.,2159738880,128
BadDialogNotActive,0x80CD0000,The dialog condition is not active.,2160918528,128
BadDialogResponseInvalid,0x80CE0000,The response is not valid for the dialog.,2160984064,128
BadConditionBranchAlreadyAcked,0x80CF0000,The condition branch has already been acknowledged.,2161049600,128
BadConditionBranchAlreadyConfirmed,0x80D00000,The condition branch has already been confirmed.,2161115136,128
BadConditionAlreadyShelved,0x80D10000,The condition has already been shelved.,2161180672,128
BadConditionNotShelved,0x80D20000,The condition is not currently shelved.,2161246208,128
BadShelvingTimeOutOfRange,0x80D30000,The shelving time not within an acceptable range.,2161311744,128
BadNoData,0x809B0000,No data exists for the requested time range or event filter.,2157641728,128
BadBoundNotFound,0x80D70000,No data found to provide upper or lower bound value.,2161573888,128
BadBoundNotSupported,0x80D80000,The server cannot retrieve a bound for the variable.,2161639424,128
BadDataLost,0x809D0000,Data is missing due to collection started/stopped/lost.,2157772800,128
BadDataUnavailable,0x809E0000,Expected data is unavailable for the requested time range due to an un-mounted volume an off-line archive or tape or similar reason for temporary unavailability.,2157838336,128
BadEntryExists,0x809F0000,The data or event was not successfully inserted because a matching entry exists.,2157903872,128
BadNoEntryExists,0x80A00000,The data or event was not successfully updated because no matching entry exists.,2157969408,128
BadTimestampNotSupported,0x80A10000,The client requested history using a timestamp format the server does not support (i.e requested ServerTimestamp when server only supports SourceTimestamp).,2158034944,128
GoodEntryInserted,0x00A20000,The data or event was successfully inserted into the historical database.,10616832,0
GoodEntryReplaced,0x00A30000,The data or event field was successfully replaced in the historical database.,10682368,0
UncertainDataSubNormal,0x40A40000,The value is derived from multiple values and has less than the required number of Good values.,1084489728,64
GoodNoData,0x00A50000,No data exists for the requested time range or event filter.,10813440,0
GoodMoreData,0x00A60000,The data or event field was successfully replaced in the historical database.,10878976,0
BadAggregateListMismatch,0x80D40000,The requested number of Aggregates does not match the requested number of NodeIds.,2161377280,128
BadAggregateNotSupported,0x80D50000,The requested Aggregate is not support by the server.,2161442816,128
BadAggregateInvalidInputs,0x80D60000,The aggregate value could not be derived due to invalid data inputs.,2161508352,128
BadAggregateConfigurationRejected,0x80DA0000,The aggregate configuration is not valid for specified node.,2161770496,128
GoodDataIgnored,0x00D90000,The request pecifies fields which are not valid for the EventType or cannot be saved by the historian.,14221312,0
BadRequestNotAllowed,0x80E40000,The request was rejected by the server because it did not meet the criteria set by the server.,2162425856,128
GoodEdited,0x00DC0000,The value does not come from the real source and has been edited by the server.,14417920,0
GoodPostActionFailed,0x00DD0000,There was an error in execution of these post-actions.,14483456,0
UncertainDominantValueChanged,0x40DE0000,The related EngineeringUnit has been changed but the Variable Value is still provided based on the previous unit.,1088290816,64
GoodDependentValueChanged,0x00E00000,A dependent value has been changed but the change has not been applied to the device.,14680064,0
BadDominantValueChanged,0x80E10000,The related EngineeringUnit has been changed but this change has not been applied to the device. The Variable Value is still dependent on the previous unit but its status is currently Bad.,2162229248,128
UncertainDependentValueChanged,0x40E20000,A dependent value has been changed but the change has not been applied to the device. The quality of the dominant variable is uncertain.,1088552960,64
BadDependentValueChanged,0x80E30000,A dependent value has been changed but the change has not been applied to the device. The quality of the dominant variable is Bad.,2162360320,128
GoodCommunicationEvent,0x00A70000,The communication layer has raised an event.,10944512,0
GoodShutdownEvent,0x00A80000,The system is shutting down.,11010048,0
GoodCallAgain,0x00A90000,The operation is not finished and needs to be called again.,11075584,0
GoodNonCriticalTimeout,0x00AA0000,A non-critical timeout occurred.,11141120,0
BadInvalidArgument,0x80AB0000,One or more arguments are invalid.,2158690304,128
BadConnectionRejected,0x80AC0000,Could not establish a network connection to remote server.,2158755840,128
BadDisconnect,0x80AD0000,The server has disconnected from the client.,2158821376,128
BadConnectionClosed,0x80AE0000,The network connection has been closed.,2158886912,128
BadInvalidState,0x80AF0000,The operation cannot be completed because the object is closed uninitialized or in some other invalid state.,2158952448,128
BadEndOfStream,0x80B00000,Cannot move beyond end of the stream.,2159017984,128
BadNoDataAvailable,0x80B10000,No data is currently available for reading from a non-blocking stream.,2159083520,128
BadWaitingForResponse,0x80B20000,The asynchronous operation is waiting for a response.,2159149056,128
BadOperationAbandoned,0x80B30000,The asynchronous operation was abandoned by the caller.,2159214592,128
BadExpectedStreamToBlock,0x80B40000,The stream did not return all data requested (possibly because it is a non-blocking stream).,2159280128,128
BadWouldBlock,0x80B50000,Non blocking behaviour is required and the operation would block.,2159345664,128
BadSyntaxError,0x80B60000,A value had an invalid syntax.,2159411200,128
BadMaxConnectionsReached,0x80B70000,The operation could not be finished because all available connections are in,2159476736,128
